graph_id,run,k,join,runtime_ms,cycles,paths
0,0,4,2,677.804000000, 1,19849
1,0,4,2,689.057000000, 0,19747
0,1,4,2,685.386000000, 1,19849
1,1,4,2,684.033000000, 0,19747
0,0,4,3,988.083000000, 1,13284| 33133
1,0,4,3,1076.472000000, 0,13170| 32917
0,1,4,3,1076.234000000, 1,13284| 33133
1,1,4,3,1067.998000000, 0,13170| 32917
0,0,4,4,1929.557000000, 1,13284
1,0,4,4,1726.698000000, 0,13170
0,1,4,4,1730.164000000, 1,13284
1,1,4,4,1865.209000000, 0,13170
0,0,5,2,834.112000000, 3,19849| 49663
1,0,5,2,855.551000000, 2,19747| 49107
0,1,5,2,991.817000000, 3,19849| 49663
1,1,5,2,958.557000000, 2,19747| 49107
0,0,5,3,1177.075000000, 3,13284| 33133
1,0,5,3,1215.930000000, 2,13170| 32917
0,1,5,3,1253.976000000, 3,13284| 33133
1,1,5,3,1228.263000000, 2,13170| 32917
0,0,5,4,1744.546000000, 3,13284| 33133
1,0,5,4,1747.717000000, 2,13170| 32917
0,1,5,4,1777.281000000, 3,13284| 33133
1,1,5,4,1894.347000000, 2,13170| 32917
0,0,6,2,776.141000000, 0,29814
1,0,6,2,760.924000000, 2,29360
0,1,6,2,824.282000000, 0,29814
1,1,6,2,763.494000000, 2,29360
0,0,6,3,1350.481000000, 0,19849
1,0,6,3,1333.998000000, 2,19747
0,1,6,3,1374.009000000, 0,19849
1,1,6,3,1375.172000000, 2,19747
0,0,6,4,1970.527000000, 0,13284| 33133
1,0,6,4,1920.820000000, 2,13170| 32917
0,1,6,4,1979.197000000, 0,13284| 33133
1,1,6,4,1914.826000000, 2,13170| 32917
0,0,7,2,1051.719000000, 4,29814| 74554
1,0,7,2,1099.937000000, 5,29360| 73017
0,1,7,2,1085.484000000, 4,29814| 74554
1,1,7,2,1043.739000000, 5,29360| 73017
0,0,7,3,1521.705000000, 4,19849| 49663
1,0,7,3,1481.122000000, 5,19747| 49107
0,1,7,3,1511.646000000, 4,19849| 49663
1,1,7,3,1538.259000000, 5,19747| 49107
0,0,7,4,2468.921000000, 4,13284| 33133
1,0,7,4,2424.276000000, 5,13170| 32917
0,1,7,4,2776.866000000, 4,13284| 33133
1,1,7,4,2513.788000000, 5,13170| 32917
0,0,8,2,862.237000000, 4,44740
1,0,8,2,856.875000000, 3,43657
0,1,8,2,912.381000000, 4,44740
1,1,8,2,918.473000000, 3,43657
0,0,8,3,1934.489000000, 4,19849| 49663
1,0,8,3,1905.932000000, 3,19747| 49107
0,1,8,3,1836.216000000, 4,19849| 49663
1,1,8,3,1896.233000000, 3,19747| 49107
0,0,8,4,3582.748000000, 4,19849
1,0,8,4,3382.368000000, 3,19747
0,1,8,4,3637.994000000, 4,19849
1,1,8,4,3361.675000000, 3,19747
0,0,9,2,1359.069000000, 2,44740| 111426
1,0,9,2,1310.349000000, 6,43657| 108914
0,1,9,2,1324.643000000, 2,44740| 111426
1,1,9,2,1301.623000000, 6,43657| 108914
0,0,9,3,2266.808000000, 2,29814
1,0,9,3,2207.255000000, 6,29360
0,1,9,3,2246.453000000, 2,29814
1,1,9,3,2196.117000000, 6,29360
0,0,9,4,3771.634000000, 2,19849| 49663
1,0,9,4,3422.993000000, 6,19747| 49107
0,1,9,4,3455.745000000, 2,19849| 49663
1,1,9,4,3494.091000000, 6,19747| 49107
0,0,10,2,1028.104000000, 4,66686
1,0,10,2,1037.414000000, 7,65257
0,1,10,2,1104.417000000, 4,66686
1,1,10,2,1034.270000000, 7,65257
0,0,10,3,2519.998000000, 4,29814| 74554
1,0,10,3,2467.551000000, 7,29360| 73017
0,1,10,3,2576.569000000, 4,29814| 74554
1,1,10,3,2523.743000000, 7,29360| 73017
0,0,10,4,4286.128000000, 4,19849| 49663
1,0,10,4,4181.006000000, 7,19747| 49107
0,1,10,4,4284.816000000, 4,19849| 49663
1,1,10,4,4327.037000000, 7,19747| 49107
