graph_id,run,k,join,runtime_ms,cycles,paths
0,0,4,2,18.941000000, 11,15934
1,0,4,2,19.405000000, 9,15848
0,1,4,2,20.117000000, 11,15934
1,1,4,2,19.577000000, 9,15848
0,0,4,3,66.174000000, 11,5286| 21220
1,0,4,3,82.286000000, 9,5300| 21148
0,1,4,3,65.276000000, 11,5286| 21220
1,1,4,3,71.645000000, 9,5300| 21148
0,0,4,4,302.235000000, 11,5286
1,0,4,4,260.020000000, 9,5300
0,1,4,4,262.603000000, 11,5286
1,1,4,4,280.964000000, 9,5300
0,0,5,2,50.889000000, 28,15934| 63368
1,0,5,2,48.982000000, 34,15848| 63264
0,1,5,2,50.933000000, 28,15934| 63368
1,1,5,2,49.916000000, 34,15848| 63264
0,0,5,3,181.548000000, 28,5286| 21220
1,0,5,3,178.021000000, 34,5300| 21148
0,1,5,3,179.714000000, 28,5286| 21220
1,1,5,3,178.925000000, 34,5300| 21148
0,0,5,4,288.776000000, 28,5286| 21220
1,0,5,4,367.396000000, 34,5300| 21148
0,1,5,4,269.402000000, 28,5286| 21220
1,1,5,4,267.399000000, 34,5300| 21148
0,0,6,2,46.142000000, 40,47434
1,0,6,2,46.301000000, 68,47416
0,1,6,2,47.663000000, 40,47434
1,1,6,2,46.211000000, 68,47416
0,0,6,3,458.703000000, 40,15934
1,0,6,3,431.107000000, 68,15848
0,1,6,3,508.992000000, 40,15934
1,1,6,3,420.374000000, 68,15848
0,0,6,4,711.217000000, 40,5286| 21220
1,0,6,4,745.647000000, 68,5300| 21148
0,1,6,4,718.936000000, 40,5286| 21220
1,1,6,4,724.195000000, 68,5300| 21148
0,0,7,2,162.293000000, 128,47434| 187914
1,0,7,2,154.060000000, 157,47416| 189006
0,1,7,2,163.159000000, 128,47434| 187914
1,1,7,2,155.598000000, 157,47416| 189006
0,0,7,3,462.171000000, 128,15934| 63368
1,0,7,3,446.268000000, 157,15848| 63264
0,1,7,3,498.060000000, 128,15934| 63368
1,1,7,3,451.843000000, 157,15848| 63264
0,0,7,4,2200.067000000, 128,5286| 21220
1,0,7,4,2260.908000000, 157,5300| 21148
0,1,7,4,2043.108000000, 128,5286| 21220
1,1,7,4,2154.982000000, 157,5300| 21148
0,0,8,2,156.185000000, 359,140480
1,0,8,2,152.713000000, 387,141590
0,1,8,2,156.650000000, 359,140480
1,1,8,2,156.396000000, 387,141590
0,0,8,3,1464.949000000, 359,15934| 63368
1,0,8,3,1395.453000000, 387,15848| 63264
0,1,8,3,1321.953000000, 359,15934| 63368
1,1,8,3,1343.850000000, 387,15848| 63264
0,0,8,4,6080.494000000, 359,15934
1,0,8,4,6025.786000000, 387,15848
0,1,8,4,6649.526000000, 359,15934
1,1,8,4,6014.848000000, 387,15848
0,0,9,2,515.916000000, 1000,140480| 556228
1,0,9,2,521.159000000, 1043,141590| 562924
0,1,9,2,508.648000000, 1000,140480| 556228
1,1,9,2,522.264000000, 1043,141590| 562924
0,0,9,3,4502.635000000, 1000,47434
1,0,9,3,4061.904000000, 1043,47416
0,1,9,3,4134.806000000, 1000,47434
1,1,9,3,4186.012000000, 1043,47416
0,0,9,4,6274.723000000, 1000,15934| 63368
1,0,9,4,6340.853000000, 1043,15848| 63264
0,1,9,4,6221.327000000, 1000,15934| 63368
1,1,9,4,6213.163000000, 1043,15848| 63264
0,0,10,2,594.335000000, 2571,415748
1,0,10,2,608.233000000, 2727,421334
0,1,10,2,608.487000000, 2571,415748
1,1,10,2,619.307000000, 2727,421334
0,0,10,3,4157.976000000, 2571,47434| 187914
1,0,10,3,4249.872000000, 2727,47416| 189006
0,1,10,3,4132.583000000, 2571,47434| 187914
1,1,10,3,4088.137000000, 2727,47416| 189006
0,0,10,4,17415.843000000, 2571,15934| 63368
1,0,10,4,20217.197000000, 2727,15848| 63264
0,1,10,4,17391.092000000, 2571,15934| 63368
1,1,10,4,17714.074000000, 2727,15848| 63264
