graph_id,run,k,p,runtime_ms,cycles,paths
0,0,6,0.0,1031.703000000, 329309,720870
1,0,6,0.0,1256.930000000, 374667,754500
0,0,6,0.1,1116.013000000, 349006,753580
1,0,6,0.1,1353.052000000, 430182,831936
0,0,6,0.2,1092.261000000, 352341,763860
1,0,6,0.2,1287.895000000, 394222,798786
0,0,6,0.3,1029.682000000, 301329,701192
1,0,6,0.3,1174.779000000, 380379,818448
0,0,6,0.4,1169.455000000, 370762,813270
1,0,6,0.4,1419.448000000, 438393,856496
0,0,6,0.5,1320.883000000, 379482,822318
1,0,6,0.5,1306.030000000, 410819,864778
0,0,6,0.6,1168.506000000, 364299,833344
1,0,6,0.6,1243.398000000, 387579,880166
0,0,6,0.7,1273.192000000, 367285,828680
1,0,6,0.7,1578.248000000, 480928,954122
0,0,6,0.8,1298.322000000, 414535,816822
1,0,6,0.8,1404.835000000, 431355,900614
0,0,6,0.9,1401.780000000, 402815,804224
1,0,6,0.9,1090.956000000, 347648,753604
