graph_id,run,k,mean_degree,variance,runtime_ms,cycles,paths
0,0,6,2,1,5.199000000, 3,1346
1,0,6,2,1,4.901000000, 0,1624
0,0,6,3,1,7.383000000, 13,7940
1,0,6,3,1,7.524000000, 13,8554
0,0,6,4,1,12.871000000, 105,21502
1,0,6,4,1,13.524000000, 108,22002
0,0,6,5,1,30.502000000, 474,44232
1,0,6,5,1,33.275000000, 465,45184
0,0,6,6,1,59.783000000, 1631,80404
1,0,6,6,1,69.599000000, 1667,80822
0,0,6,7,1,112.673000000, 4441,131476
1,0,6,7,1,98.383000000, 4383,131808
0,0,6,8,1,131.022000000, 10764,200486
1,0,6,8,1,137.221000000, 11015,203892
0,0,6,9,1,200.183000000, 22586,289242
1,0,6,9,1,195.419000000, 22992,291368
0,0,6,10,1,268.091000000, 44886,403754
1,0,6,10,1,276.290000000, 46570,408408
0,0,6,11,1,414.417000000, 82471,541452
1,0,6,11,1,519.862000000, 83403,544230
0,0,6,12,1,643.134000000, 142910,709018
1,0,6,12,1,662.179000000, 145230,713438
0,0,6,13,1,904.563000000, 235201,904216
1,0,6,13,1,1020.339000000, 241921,914290
0,0,6,14,1,1465.888000000, 388256,1155942
1,0,6,14,1,1428.590000000, 393204,1161384
0,0,6,15,1,2088.826000000, 583816,1412804
1,0,6,15,1,2062.658000000, 599550,1429620
0,0,6,16,1,2973.232000000, 903500,1748214
1,0,6,16,1,3104.738000000, 932177,1775256
0,0,6,17,1,4222.415000000, 1311713,2100096
1,0,6,17,1,4209.787000000, 1324918,2109494
0,0,6,18,1,5913.134000000, 1823488,2467624
1,0,6,18,1,6011.546000000, 1845753,2484358
0,0,6,19,1,8243.470000000, 2628425,2955084
1,0,6,19,1,7999.372000000, 2559920,2918282
0,0,6,20,1,11661.375000000, 3530434,3419084
1,0,6,20,1,11338.945000000, 3536870,3420926
0,0,6,2,2,5.466000000, 11,3034
1,0,6,2,2,5.367000000, 9,3138
0,0,6,3,2,8.234000000, 39,9924
1,0,6,3,2,8.320000000, 40,10212
0,0,6,4,2,15.002000000, 144,23512
1,0,6,4,2,14.927000000, 190,25008
0,0,6,5,2,23.282000000, 620,47826
1,0,6,5,2,25.019000000, 613,49108
0,0,6,6,2,38.519000000, 1919,83688
1,0,6,6,2,43.950000000, 2020,86776
0,0,6,7,2,77.663000000, 4933,135120
1,0,6,7,2,69.736000000, 5236,139216
0,0,6,8,2,121.940000000, 11775,205684
1,0,6,8,2,121.518000000, 11889,207276
0,0,6,9,2,186.693000000, 24947,298218
1,0,6,9,2,187.082000000, 25091,300978
0,0,6,10,2,274.252000000, 47565,410282
1,0,6,10,2,277.135000000, 48942,414076
0,0,6,11,2,402.467000000, 84277,544508
1,0,6,11,2,409.892000000, 86679,550074
0,0,6,12,2,595.899000000, 145255,709308
1,0,6,12,2,662.497000000, 150918,720770
0,0,6,13,2,937.273000000, 249084,924290
1,0,6,13,2,940.789000000, 251157,928072
0,0,6,14,2,1400.450000000, 397965,1164072
1,0,6,14,2,1384.170000000, 396084,1161592
0,0,6,15,2,2013.556000000, 600307,1422026
1,0,6,15,2,2059.319000000, 608922,1432540
0,0,6,16,2,2871.710000000, 889012,1727468
1,0,6,16,2,3108.347000000, 928712,1763626
0,0,6,17,2,4182.900000000, 1316820,2096030
1,0,6,17,2,4177.959000000, 1329095,2104568
