graph_id,run,k,2core_flag,runtime_ms,cycles,paths
0,0,3, false,21.830000000, 2,6000| 24072
0,1,3, false,21.331000000, 2,6000| 24072
1,0,3, false,20.825000000, 5,6000| 24034
1,1,3, false,21.005000000, 5,6000| 24034
2,0,3, false,20.600000000, 5,6000| 24168
2,1,3, false,20.581000000, 5,6000| 24168
3,0,3, false,20.466000000, 7,6000| 24170
3,1,3, false,25.660000000, 7,6000| 24170
4,0,3, false,28.197000000, 4,6000| 24020
4,1,3, false,25.046000000, 4,6000| 24020
5,0,3, false,29.129000000, 7,6000| 23870
5,1,3, false,25.681000000, 7,6000| 23870
6,0,3, false,25.062000000, 5,6000| 23934
6,1,3, false,25.676000000, 5,6000| 23934
7,0,3, false,25.711000000, 6,6000| 23818
7,1,3, false,24.566000000, 6,6000| 23818
8,0,3, false,23.514000000, 6,6000| 24128
8,1,3, false,20.892000000, 6,6000| 24128
9,0,3, false,21.227000000, 5,6000| 23992
9,1,3, false,20.861000000, 5,6000| 23992
0,0,4, false,20.096000000, 11,18072
0,1,4, false,20.615000000, 11,18072
1,0,4, false,21.837000000, 9,18034
1,1,4, false,21.399000000, 9,18034
2,0,4, false,20.429000000, 12,18168
2,1,4, false,20.710000000, 12,18168
3,0,4, false,19.562000000, 9,18170
3,1,4, false,19.908000000, 9,18170
4,0,4, false,20.345000000, 7,18020
4,1,4, false,20.384000000, 7,18020
5,0,4, false,20.080000000, 9,17870
5,1,4, false,20.067000000, 9,17870
6,0,4, false,20.073000000, 14,17934
6,1,4, false,20.121000000, 14,17934
7,0,4, false,20.226000000, 8,17818
7,1,4, false,20.021000000, 8,17818
8,0,4, false,22.185000000, 14,18128
8,1,4, false,23.433000000, 14,18128
9,0,4, false,25.275000000, 13,17992
9,1,4, false,21.979000000, 13,17992
0,0,5, false,68.588000000, 28,18072| 71892
0,1,5, false,74.665000000, 28,18072| 71892
1,0,5, false,70.309000000, 34,18034| 71936
1,1,5, false,105.035000000, 34,18034| 71936
2,0,5, false,63.425000000, 21,18168| 73524
2,1,5, false,57.276000000, 21,18168| 73524
3,0,5, false,58.400000000, 15,18170| 73148
3,1,5, false,56.610000000, 15,18170| 73148
4,0,5, false,59.511000000, 18,18020| 71256
4,1,5, false,55.981000000, 18,18020| 71256
5,0,5, false,57.957000000, 21,17870| 71128
5,1,5, false,57.495000000, 21,17870| 71128
6,0,5, false,57.070000000, 22,17934| 71580
6,1,5, false,56.054000000, 22,17934| 71580
7,0,5, false,59.208000000, 23,17818| 70828
7,1,5, false,57.234000000, 23,17818| 70828
8,0,5, false,59.625000000, 27,18128| 73118
8,1,5, false,59.119000000, 27,18128| 73118
9,0,5, false,65.642000000, 23,17992| 72094
9,1,5, false,58.841000000, 23,17992| 72094
0,0,6, false,54.682000000, 40,53820
0,1,6, false,52.978000000, 40,53820
1,0,6, false,57.267000000, 68,53902
1,1,6, false,53.278000000, 68,53902
2,0,6, false,57.158000000, 63,55356
2,1,6, false,53.545000000, 63,55356
3,0,6, false,56.835000000, 55,54978
3,1,6, false,52.219000000, 55,54978
4,0,6, false,54.725000000, 71,53236
4,1,6, false,51.389000000, 71,53236
5,0,6, false,55.849000000, 54,53258
5,1,6, false,51.822000000, 54,53258
6,0,6, false,55.946000000, 68,53646
6,1,6, false,51.389000000, 68,53646
7,0,6, false,57.978000000, 62,53010
7,1,6, false,53.343000000, 62,53010
8,0,6, false,55.570000000, 54,54990
8,1,6, false,52.098000000, 54,54990
9,0,6, false,55.139000000, 60,54102
9,1,6, false,62.338000000, 60,54102
0,0,7, false,196.216000000, 128,53820| 213254
0,1,7, false,205.451000000, 128,53820| 213254
1,0,7, false,231.143000000, 157,53902| 215192
1,1,7, false,236.839000000, 157,53902| 215192
2,0,7, false,201.848000000, 178,55356| 224768
2,1,7, false,231.569000000, 178,55356| 224768
3,0,7, false,223.429000000, 158,54978| 221458
3,1,7, false,195.996000000, 158,54978| 221458
4,0,7, false,186.987000000, 143,53236| 209902
4,1,7, false,186.610000000, 143,53236| 209902
5,0,7, false,181.129000000, 153,53258| 212406
5,1,7, false,182.702000000, 153,53258| 212406
6,0,7, false,184.265000000, 156,53646| 214132
6,1,7, false,183.399000000, 156,53646| 214132
7,0,7, false,184.886000000, 130,53010| 210534
7,1,7, false,182.085000000, 130,53010| 210534
8,0,7, false,189.499000000, 177,54990| 222604
8,1,7, false,189.566000000, 177,54990| 222604
9,0,7, false,190.531000000, 125,54102| 216508
9,1,7, false,187.555000000, 125,54102| 216508
0,0,8, false,193.317000000, 359,159434
0,1,8, false,192.571000000, 359,159434
1,0,8, false,191.603000000, 387,161290
1,1,8, false,191.514000000, 387,161290
2,0,8, false,241.535000000, 476,169412
2,1,8, false,195.301000000, 476,169412
3,0,8, false,192.373000000, 460,166480
3,1,8, false,194.413000000, 460,166480
4,0,8, false,179.045000000, 311,156666
4,1,8, false,176.223000000, 311,156666
