graph_id,run,k,join,runtime_ms,cycles,paths
0,0,4,2,0.731772, 6,61422
1,0,4,2,0.765585, 10,61421
0,1,4,2,0.84249, 6,61422
1,1,4,2,0.72451, 10,61421
0,0,4,3,1.74669, 6,24676| 86098
1,0,4,3,1.93887, 10,24644| 86065
0,1,4,3,1.86283, 6,24676| 86098
1,1,4,3,1.70784, 10,24644| 86065
0,0,4,4,5.16236, 6,24676
1,0,4,4,5.08048, 10,24644
0,1,4,4,5.06636, 6,24676
1,1,4,4,4.926, 10,24644
0,0,5,2,1.16351, 19,61422| 214469
1,0,5,2,1.13685, 19,61421| 214371
0,1,5,2,1.21413, 19,61422| 214469
1,1,5,2,1.34374, 19,61421| 214371
0,0,5,3,3.56334, 19,24676| 86098
1,0,5,3,3.79934, 19,24644| 86065
0,1,5,3,4.05211, 19,24676| 86098
1,1,5,3,3.67866, 19,24644| 86065
0,0,5,4,5.06009, 19,24676| 86098
1,0,5,4,5.12686, 19,24644| 86065
0,1,5,4,5.27707, 19,24676| 86098
1,1,5,4,5.11031, 19,24644| 86065
0,0,6,2,1.00426, 35,153047
1,0,6,2,1.00795, 33,152950
0,1,6,2,1.00829, 35,153047
1,1,6,2,1.05426, 33,152950
0,0,6,3,7.74609, 35,61422
1,0,6,3,8.0412, 33,61421
0,1,6,3,7.78096, 35,61422
1,1,6,3,8.86136, 33,61421
0,0,6,4,10.9565, 35,24676| 86098
1,0,6,4,11.2942, 33,24644| 86065
0,1,6,4,10.5133, 35,24676| 86098
1,1,6,4,10.7981, 33,24644| 86065
