graph_id,run,k,join,runtime_ms,cycles,paths
0,0,4,2,0.00832486, 9,3876
1,0,4,2,0.00600219, 7,3992
2,0,4,2,0.0060885, 18,4006
3,0,4,2,0.00598192, 9,4036
4,0,4,2,0.00610995, 7,3858
5,0,4,2,0.00619245, 6,3932
6,0,4,2,0.00628519, 11,4062
7,0,4,2,0.00612473, 14,3856
8,0,4,2,0.00705171, 6,3954
9,0,4,2,0.00749516, 6,3954
0,1,4,2,0.00557566, 9,3876
1,1,4,2,0.00757933, 7,3992
2,1,4,2,0.00767422, 18,4006
3,1,4,2,0.00590158, 9,4036
4,1,4,2,0.00554729, 7,3858
5,1,4,2,0.00547338, 6,3932
6,1,4,2,0.00566959, 11,4062
7,1,4,2,0.00546718, 14,3856
8,1,4,2,0.00547004, 6,3954
9,1,4,2,0.00570965, 6,3954
0,2,4,2,0.00523138, 9,3876
1,2,4,2,0.00522184, 7,3992
2,2,4,2,0.00573468, 18,4006
3,2,4,2,0.00605106, 9,4036
4,2,4,2,0.00574899, 7,3858
5,2,4,2,0.00547338, 6,3932
6,2,4,2,0.00564551, 11,4062
7,2,4,2,0.00561953, 14,3856
8,2,4,2,0.0144866, 6,3954
9,2,4,2,0.00529647, 6,3954
0,3,4,2,0.00517964, 9,3876
1,3,4,2,0.00523067, 7,3992
2,3,4,2,0.00615835, 18,4006
3,3,4,2,0.00551701, 9,4036
4,3,4,2,0.00527048, 7,3858
5,3,4,2,0.0052762, 6,3932
6,3,4,2,0.00528359, 11,4062
7,3,4,2,0.00515914, 14,3856
8,3,4,2,0.00520849, 6,3954
9,3,4,2,0.00524759, 6,3954
0,4,4,2,0.00533032, 9,3876
1,4,4,2,0.00547051, 7,3992
2,4,4,2,0.00545788, 18,4006
3,4,4,2,0.00555634, 9,4036
4,4,4,2,0.00542879, 7,3858
5,4,4,2,0.00560617, 6,3932
6,4,4,2,0.00570583, 11,4062
7,4,4,2,0.00571632, 14,3856
8,4,4,2,0.00583696, 6,3954
9,4,4,2,0.0057404, 6,3954
0,5,4,2,0.00580978, 9,3876
1,5,4,2,0.00575089, 7,3992
2,5,4,2,0.00555897, 18,4006
3,5,4,2,0.00621438, 9,4036
4,5,4,2,0.00564694, 7,3858
5,5,4,2,0.00585914, 6,3932
6,5,4,2,0.0061357, 11,4062
7,5,4,2,0.00578356, 14,3856
8,5,4,2,0.00583053, 6,3954
9,5,4,2,0.00570226, 6,3954
0,6,4,2,0.00588918, 9,3876
1,6,4,2,0.0056777, 7,3992
2,6,4,2,0.00605702, 18,4006
3,6,4,2,0.00561547, 9,4036
4,6,4,2,0.00562572, 7,3858
5,6,4,2,0.0056541, 6,3932
6,6,4,2,0.00581145, 11,4062
7,6,4,2,0.00532579, 14,3856
8,6,4,2,0.00552559, 6,3954
9,6,4,2,0.00537348, 6,3954
0,7,4,2,0.00525713, 9,3876
1,7,4,2,0.00547838, 7,3992
2,7,4,2,0.005337, 18,4006
3,7,4,2,0.00511956, 9,4036
4,7,4,2,0.00527167, 7,3858
5,7,4,2,0.00517464, 6,3932
6,7,4,2,0.00528598, 11,4062
7,7,4,2,0.00523138, 14,3856
8,7,4,2,0.00532293, 6,3954
9,7,4,2,0.00521445, 6,3954
0,8,4,2,0.00570631, 9,3876
1,8,4,2,0.00643063, 7,3992
2,8,4,2,0.0054915, 18,4006
3,8,4,2,0.00741625, 9,4036
4,8,4,2,0.00672174, 7,3858
5,8,4,2,0.00560975, 6,3932
6,8,4,2,0.00537682, 11,4062
7,8,4,2,0.00524879, 14,3856
8,8,4,2,0.00527024, 6,3954
9,8,4,2,0.00517988, 6,3954
0,9,4,2,0.0051887, 9,3876
1,9,4,2,0.00538731, 7,3992
2,9,4,2,0.00534701, 18,4006
3,9,4,2,0.00525498, 9,4036
4,9,4,2,0.0058825, 7,3858
5,9,4,2,0.00579166, 6,3932
6,9,4,2,0.00581503, 11,4062
7,9,4,2,0.00602937, 14,3856
8,9,4,2,0.00556684, 6,3954
9,9,4,2,0.00566006, 6,3954
0,0,4,3,0.0128739, 9,1310| 5186
1,0,4,3,0.0122707, 7,1348| 5340
2,0,4,3,0.0119193, 18,1326| 5332
3,0,4,3,0.0173657, 9,1322| 5358
4,0,4,3,0.0121286, 7,1352| 5210
5,0,4,3,0.0161946, 6,1352| 5284
6,0,4,3,0.0139318, 11,1342| 5404
7,0,4,3,0.0116022, 14,1330| 5186
8,0,4,3,0.0114694, 6,1318| 5272
9,0,4,3,0.0117524, 6,1308| 5262
0,1,4,3,0.0113738, 9,1310| 5186
1,1,4,3,0.0116482, 7,1348| 5340
2,1,4,3,0.0114667, 18,1326| 5332
3,1,4,3,0.0114141, 9,1322| 5358
4,1,4,3,0.011543, 7,1352| 5210
5,1,4,3,0.0115609, 6,1352| 5284
6,1,4,3,0.0115466, 11,1342| 5404
7,1,4,3,0.0115035, 14,1330| 5186
8,1,4,3,0.0171676, 6,1318| 5272
9,1,4,3,0.0151107, 6,1308| 5262
0,2,4,3,0.0147698, 9,1310| 5186
1,2,4,3,0.017453, 7,1348| 5340
2,2,4,3,0.0160496, 18,1326| 5332
3,2,4,3,0.0119588, 9,1322| 5358
4,2,4,3,0.0117884, 7,1352| 5210
5,2,4,3,0.0119574, 6,1352| 5284
6,2,4,3,0.0117006, 11,1342| 5404
7,2,4,3,0.011487, 14,1330| 5186
8,2,4,3,0.0116162, 6,1318| 5272
9,2,4,3,0.0115809, 6,1308| 5262
0,3,4,3,0.011343, 9,1310| 5186
1,3,4,3,0.0117536, 7,1348| 5340
2,3,4,3,0.0116544, 18,1326| 5332
3,3,4,3,0.0124872, 9,1322| 5358
4,3,4,3,0.0169296, 7,1352| 5210
5,3,4,3,0.0147104, 6,1352| 5284
6,3,4,3,0.0134308, 11,1342| 5404
7,3,4,3,0.0168507, 14,1330| 5186
8,3,4,3,0.0159926, 6,1318| 5272
9,3,4,3,0.0177553, 6,1308| 5262
0,4,4,3,0.0141978, 9,1310| 5186
1,4,4,3,0.018544, 7,1348| 5340
2,4,4,3,0.0183156, 18,1326| 5332
3,4,4,3,0.0154138, 9,1322| 5358
4,4,4,3,0.018538, 7,1352| 5210
5,4,4,3,0.0138969, 6,1352| 5284
6,4,4,3,0.0144808, 11,1342| 5404
7,4,4,3,0.0122705, 14,1330| 5186
8,4,4,3,0.0114231, 6,1318| 5272
9,4,4,3,0.0112371, 6,1308| 5262
0,5,4,3,0.0112648, 9,1310| 5186
1,5,4,3,0.0130501, 7,1348| 5340
2,5,4,3,0.0124717, 18,1326| 5332
3,5,4,3,0.016819, 9,1322| 5358
4,5,4,3,0.0125937, 7,1352| 5210
5,5,4,3,0.0154648, 6,1352| 5284
6,5,4,3,0.013154, 11,1342| 5404
7,5,4,3,0.0196888, 14,1330| 5186
8,5,4,3,0.012975, 6,1318| 5272
9,5,4,3,0.0113358, 6,1308| 5262
0,6,4,3,0.0114424, 9,1310| 5186
1,6,4,3,0.0118198, 7,1348| 5340
2,6,4,3,0.0113678, 18,1326| 5332
3,6,4,3,0.0114365, 9,1322| 5358
4,6,4,3,0.011867, 7,1352| 5210
5,6,4,3,0.0117433, 6,1352| 5284
6,6,4,3,0.0116313, 11,1342| 5404
7,6,4,3,0.011435, 14,1330| 5186
