graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
0,0,12,1,"4 8",0.813502, 13248,32606| 2234830
1,0,12,1,"4 8",0.985044, 18245,35464| 2693866
2,0,12,1,"4 8",1.01104, 18805,36204| 2780340
3,0,12,1,"4 8",1.10028, 22607,36834| 2996740
4,0,12,1,"4 8",0.715607, 10309,31346| 1984198
5,0,12,1,"4 8",0.868513, 14005,33730| 2353986
6,0,12,1,"4 8",0.941582, 15936,35746| 2592566
7,0,12,1,"4 8",0.79712, 13111,32084| 2205822
8,0,12,1,"4 8",1.07368, 22332,36228| 2973082
9,0,12,1,"4 8",1.00639, 18871,35586| 2740606
0,1,12,1,"4 8",0.812347, 13248,32606| 2234830
1,1,12,1,"4 8",0.979054, 18245,35464| 2693866
2,1,12,1,"4 8",0.996478, 18805,36204| 2780340
3,1,12,1,"4 8",1.10679, 22607,36834| 2996740
4,1,12,1,"4 8",0.727878, 10309,31346| 1984198
5,1,12,1,"4 8",0.866779, 14005,33730| 2353986
6,1,12,1,"4 8",0.951995, 15936,35746| 2592566
7,1,12,1,"4 8",0.81095, 13111,32084| 2205822
8,1,12,1,"4 8",1.09678, 22332,36228| 2973082
9,1,12,1,"4 8",0.998161, 18871,35586| 2740606
0,2,12,1,"4 8",0.82781, 13248,32606| 2234830
1,2,12,1,"4 8",0.985208, 18245,35464| 2693866
2,2,12,1,"4 8",1.01441, 18805,36204| 2780340
3,2,12,1,"4 8",1.10436, 22607,36834| 2996740
4,2,12,1,"4 8",0.735395, 10309,31346| 1984198
5,2,12,1,"4 8",0.871388, 14005,33730| 2353986
6,2,12,1,"4 8",0.951706, 15936,35746| 2592566
7,2,12,1,"4 8",0.803982, 13111,32084| 2205822
8,2,12,1,"4 8",1.08382, 22332,36228| 2973082
9,2,12,1,"4 8",0.980326, 18871,35586| 2740606
0,3,12,1,"4 8",0.818948, 13248,32606| 2234830
1,3,12,1,"4 8",0.982004, 18245,35464| 2693866
2,3,12,1,"4 8",1.00713, 18805,36204| 2780340
3,3,12,1,"4 8",1.09733, 22607,36834| 2996740
4,3,12,1,"4 8",0.729108, 10309,31346| 1984198
5,3,12,1,"4 8",0.858218, 14005,33730| 2353986
6,3,12,1,"4 8",0.936875, 15936,35746| 2592566
7,3,12,1,"4 8",0.800243, 13111,32084| 2205822
8,3,12,1,"4 8",1.07966, 22332,36228| 2973082
9,3,12,1,"4 8",0.990138, 18871,35586| 2740606
0,4,12,1,"4 8",0.81703, 13248,32606| 2234830
1,4,12,1,"4 8",0.98673, 18245,35464| 2693866
2,4,12,1,"4 8",1.00419, 18805,36204| 2780340
3,4,12,1,"4 8",1.0897, 22607,36834| 2996740
4,4,12,1,"4 8",0.725508, 10309,31346| 1984198
5,4,12,1,"4 8",0.860144, 14005,33730| 2353986
6,4,12,1,"4 8",0.940234, 15936,35746| 2592566
7,4,12,1,"4 8",0.805429, 13111,32084| 2205822
8,4,12,1,"4 8",1.079, 22332,36228| 2973082
9,4,12,1,"4 8",0.989017, 18871,35586| 2740606
0,5,12,1,"4 8",0.814758, 13248,32606| 2234830
1,5,12,1,"4 8",0.983407, 18245,35464| 2693866
2,5,12,1,"4 8",0.98816, 18805,36204| 2780340
3,5,12,1,"4 8",1.07541, 22607,36834| 2996740
4,5,12,1,"4 8",0.72481, 10309,31346| 1984198
5,5,12,1,"4 8",0.848741, 14005,33730| 2353986
6,5,12,1,"4 8",0.932156, 15936,35746| 2592566
7,5,12,1,"4 8",0.79648, 13111,32084| 2205822
8,5,12,1,"4 8",1.08121, 22332,36228| 2973082
9,5,12,1,"4 8",0.993072, 18871,35586| 2740606
0,6,12,1,"4 8",0.811908, 13248,32606| 2234830
1,6,12,1,"4 8",0.977795, 18245,35464| 2693866
2,6,12,1,"4 8",0.988019, 18805,36204| 2780340
3,6,12,1,"4 8",1.08737, 22607,36834| 2996740
4,6,12,1,"4 8",0.724854, 10309,31346| 1984198
5,6,12,1,"4 8",0.868467, 14005,33730| 2353986
6,6,12,1,"4 8",0.941274, 15936,35746| 2592566
7,6,12,1,"4 8",0.809313, 13111,32084| 2205822
