graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
0,0,12,1,"6 5 1",26.8739, 13248,269496| 363362| 364672
1,0,12,1,"6 5 1",28.9064, 18245,309628| 414580| 415928
2,0,12,1,"6 5 1",31.0217, 18805,317672| 425206| 426532
3,0,12,1,"6 5 1",30.523, 22607,332290| 443124| 444446
4,0,12,1,"6 5 1",25.6239, 10309,249200| 337732| 339084
5,0,12,1,"6 5 1",28.1498, 14005,280666| 378158| 379510
6,0,12,1,"6 5 1",31.5842, 15936,304106| 408660| 410002
7,0,12,1,"6 5 1",24.8469, 13111,266362| 359044| 360374
8,0,12,1,"6 5 1",29.9282, 22332,329848| 439406| 440724
9,0,12,1,"6 5 1",29.6162, 18871,312558| 418332| 419640
0,1,12,1,"6 5 1",25.9323, 13248,269496| 363362| 364672
1,1,12,1,"6 5 1",29.3042, 18245,309628| 414580| 415928
2,1,12,1,"6 5 1",31.2264, 18805,317672| 425206| 426532
3,1,12,1,"6 5 1",30.4716, 22607,332290| 443124| 444446
4,1,12,1,"6 5 1",25.6571, 10309,249200| 337732| 339084
5,1,12,1,"6 5 1",28.2293, 14005,280666| 378158| 379510
6,1,12,1,"6 5 1",31.7054, 15936,304106| 408660| 410002
7,1,12,1,"6 5 1",24.7918, 13111,266362| 359044| 360374
8,1,12,1,"6 5 1",30.4995, 22332,329848| 439406| 440724
9,1,12,1,"6 5 1",29.0459, 18871,312558| 418332| 419640
0,2,12,1,"6 5 1",26.0823, 13248,269496| 363362| 364672
1,2,12,1,"6 5 1",30.0876, 18245,309628| 414580| 415928
2,2,12,1,"6 5 1",30.2478, 18805,317672| 425206| 426532
3,2,12,1,"6 5 1",30.6494, 22607,332290| 443124| 444446
4,2,12,1,"6 5 1",26.2612, 10309,249200| 337732| 339084
5,2,12,1,"6 5 1",27.9698, 14005,280666| 378158| 379510
6,2,12,1,"6 5 1",31.5233, 15936,304106| 408660| 410002
7,2,12,1,"6 5 1",25.0849, 13111,266362| 359044| 360374
8,2,12,1,"6 5 1",30.519, 22332,329848| 439406| 440724
9,2,12,1,"6 5 1",29.1098, 18871,312558| 418332| 419640
0,3,12,1,"6 5 1",26.0967, 13248,269496| 363362| 364672
1,3,12,1,"6 5 1",29.9523, 18245,309628| 414580| 415928
2,3,12,1,"6 5 1",31.0157, 18805,317672| 425206| 426532
3,3,12,1,"6 5 1",30.4915, 22607,332290| 443124| 444446
4,3,12,1,"6 5 1",26.2273, 10309,249200| 337732| 339084
5,3,12,1,"6 5 1",27.9773, 14005,280666| 378158| 379510
6,3,12,1,"6 5 1",31.5236, 15936,304106| 408660| 410002
7,3,12,1,"6 5 1",25.2222, 13111,266362| 359044| 360374
8,3,12,1,"6 5 1",29.8158, 22332,329848| 439406| 440724
9,3,12,1,"6 5 1",29.3835, 18871,312558| 418332| 419640
0,4,12,1,"6 5 1",26.0937, 13248,269496| 363362| 364672
1,4,12,1,"6 5 1",29.8587, 18245,309628| 414580| 415928
2,4,12,1,"6 5 1",30.7422, 18805,317672| 425206| 426532
3,4,12,1,"6 5 1",30.5682, 22607,332290| 443124| 444446
4,4,12,1,"6 5 1",26.2062, 10309,249200| 337732| 339084
5,4,12,1,"6 5 1",27.663, 14005,280666| 378158| 379510
6,4,12,1,"6 5 1",31.6771, 15936,304106| 408660| 410002
7,4,12,1,"6 5 1",25.206, 13111,266362| 359044| 360374
8,4,12,1,"6 5 1",29.9499, 22332,329848| 439406| 440724
9,4,12,1,"6 5 1",28.7966, 18871,312558| 418332| 419640
0,5,12,1,"6 5 1",25.901, 13248,269496| 363362| 364672
1,5,12,1,"6 5 1",30.1099, 18245,309628| 414580| 415928
2,5,12,1,"6 5 1",30.5173, 18805,317672| 425206| 426532
3,5,12,1,"6 5 1",30.5289, 22607,332290| 443124| 444446
4,5,12,1,"6 5 1",26.18, 10309,249200| 337732| 339084
5,5,12,1,"6 5 1",28.0686, 14005,280666| 378158| 379510
6,5,12,1,"6 5 1",31.5989, 15936,304106| 408660| 410002
7,5,12,1,"6 5 1",25.161, 13111,266362| 359044| 360374
