config_id,run,k,runtime_ms,cycles,paths
0,0,3,0.0082705, 284,830| 11346
0,1,3,0.00516057, 284,830| 11346
0,2,3,0.00478244, 284,830| 11346
0,3,3,0.00476384, 284,830| 11346
0,4,3,0.0048039, 284,830| 11346
0,5,3,0.0053184, 284,830| 11346
0,6,3,0.0055995, 284,830| 11346
0,7,3,0.00519085, 284,830| 11346
0,8,3,0.00649905, 284,830| 11346
0,9,3,0.00589991, 284,830| 11346
1,0,3,0.0115919, 32,2034| 6464
1,1,3,0.00918102, 32,2034| 6464
1,2,3,0.00858116, 32,2034| 6464
1,3,3,0.00858521, 32,2034| 6464
1,4,3,0.00890589, 32,2034| 6464
1,5,3,0.00872779, 32,2034| 6464
1,6,3,0.00875545, 32,2034| 6464
1,7,3,0.00868702, 32,2034| 6464
1,8,3,0.0105762, 32,2034| 6464
1,9,3,0.0102551, 32,2034| 6464
2,0,3,0.119715, 5811,7628| 258330
2,1,3,0.111209, 5811,7628| 258330
2,2,3,0.0979073, 5811,7628| 258330
2,3,3,0.102032, 5811,7628| 258330
2,4,3,0.115508, 5811,7628| 258330
2,5,3,0.125771, 5811,7628| 258330
2,6,3,0.120655, 5811,7628| 258330
2,7,3,0.10758, 5811,7628| 258330
2,8,3,0.089112, 5811,7628| 258330
2,9,3,0.102172, 5811,7628| 258330
3,0,3,0.059082, 4,5450| 11610
3,1,3,0.0350378, 4,5450| 11610
3,2,3,0.0324321, 4,5450| 11610
3,3,3,0.0369961, 4,5450| 11610
3,4,3,0.0380261, 4,5450| 11610
3,5,3,0.045661, 4,5450| 11610
3,6,3,0.0383301, 4,5450| 11610
3,7,3,0.0382428, 4,5450| 11610
3,8,3,0.0419714, 4,5450| 11610
3,9,3,0.0521524, 4,5450| 11610
4,0,3,0.11962, 651,10012| 38240
4,1,3,0.104549, 651,10012| 38240
4,2,3,0.144372, 651,10012| 38240
4,3,3,0.154943, 651,10012| 38240
4,4,3,0.10462, 651,10012| 38240
4,5,3,0.108559, 651,10012| 38240
4,6,3,0.189747, 651,10012| 38240
4,7,3,0.202921, 651,10012| 38240
4,8,3,0.201687, 651,10012| 38240
4,9,3,0.162434, 651,10012| 38240
0,0,4,0.00676894, 2579,10516
0,1,4,0.0067904, 2579,10516
0,2,4,0.00678873, 2579,10516
0,3,4,0.00681448, 2579,10516
0,4,4,0.00680923, 2579,10516
0,5,4,0.0143182, 2579,10516
0,6,4,0.00773597, 2579,10516
0,7,4,0.00912666, 2579,10516
0,8,4,0.00790477, 2579,10516
0,9,4,0.00853181, 2579,10516
1,0,4,0.0151706, 41,4430
1,1,4,0.0152659, 41,4430
1,2,4,0.0144866, 41,4430
1,3,4,0.00870514, 41,4430
1,4,4,0.00827599, 41,4430
1,5,4,0.00827718, 41,4430
1,6,4,0.00820851, 41,4430
1,7,4,0.00837326, 41,4430
1,8,4,0.00816464, 41,4430
1,9,4,0.00825572, 41,4430
2,0,4,0.371338, 113083,250702
2,1,4,0.341759, 113083,250702
2,2,4,0.323562, 113083,250702
2,3,4,0.371687, 113083,250702
2,4,4,0.314796, 113083,250702
2,5,4,0.338834, 113083,250702
2,6,4,0.328347, 113083,250702
2,7,4,0.365977, 113083,250702
2,8,4,0.332203, 113083,250702
2,9,4,0.354857, 113083,250702
3,0,4,0.0438664, 4,6160
3,1,4,0.0427256, 4,6160
3,2,4,0.0359247, 4,6160
3,3,4,0.0346706, 4,6160
3,4,4,0.0501628, 4,6160
3,5,4,0.0483639, 4,6160
3,6,4,0.0411634, 4,6160
3,7,4,0.0302608, 4,6160
3,8,4,0.0325687, 4,6160
3,9,4,0.0314996, 4,6160
4,0,4,0.101497, 979,28228
4,1,4,0.186403, 979,28228
4,2,4,0.102273, 979,28228
4,3,4,0.101243, 979,28228
4,4,4,0.162501, 979,28228
4,5,4,0.219686, 979,28228
4,6,4,0.200673, 979,28228
4,7,4,0.177729, 979,28228
4,8,4,0.116178, 979,28228
4,9,4,0.14312, 979,28228
0,0,5,0.0762506, 19549,10516| 129504
0,1,5,0.0595331, 19549,10516| 129504
