config_id,graph_id,run,k,runtime_ms,cycles,paths
0,0,0,3,0.0147455, 2,2010| 7062
0,0,1,3,0.0109286, 2,2010| 7062
0,0,2,3,0.00913072, 2,2010| 7062
0,0,3,3,0.0100052, 2,2010| 7062
0,0,4,3,0.00972319, 2,2010| 7062
0,0,5,3,0.0120907, 2,2010| 7062
0,0,6,3,0.00909543, 2,2010| 7062
0,0,7,3,0.00837755, 2,2010| 7062
0,0,8,3,0.00828242, 2,2010| 7062
0,0,9,3,0.00850773, 2,2010| 7062
0,1,0,3,0.00948596, 0,1948| 6714
0,1,1,3,0.0083611, 0,1948| 6714
0,1,2,3,0.00967407, 0,1948| 6714
0,1,3,3,0.0114863, 0,1948| 6714
0,1,4,3,0.00909472, 0,1948| 6714
0,1,5,3,0.0118575, 0,1948| 6714
0,1,6,3,0.0109484, 0,1948| 6714
0,1,7,3,0.00855231, 0,1948| 6714
0,1,8,3,0.0137289, 0,1948| 6714
0,1,9,3,0.0115428, 0,1948| 6714
0,2,0,3,0.00940537, 4,2002| 7164
0,2,1,3,0.00913382, 4,2002| 7164
0,2,2,3,0.00890636, 4,2002| 7164
0,2,3,3,0.00924778, 4,2002| 7164
0,2,4,3,0.00926852, 4,2002| 7164
0,2,5,3,0.00868845, 4,2002| 7164
0,2,6,3,0.00921345, 4,2002| 7164
0,2,7,3,0.00865388, 4,2002| 7164
0,2,8,3,0.00832438, 4,2002| 7164
0,2,9,3,0.00849342, 4,2002| 7164
0,3,0,3,0.00971651, 0,1984| 6930
0,3,1,3,0.0103862, 0,1984| 6930
0,3,2,3,0.0138369, 0,1984| 6930
0,3,3,3,0.0121317, 0,1984| 6930
0,3,4,3,0.0119052, 0,1984| 6930
0,3,5,3,0.0131874, 0,1984| 6930
0,3,6,3,0.00949526, 0,1984| 6930
0,3,7,3,0.00861716, 0,1984| 6930
0,3,8,3,0.00870824, 0,1984| 6930
0,3,9,3,0.00914931, 0,1984| 6930
0,4,0,3,0.00965953, 1,1954| 6672
0,4,1,3,0.00887561, 1,1954| 6672
0,4,2,3,0.00851369, 1,1954| 6672
0,4,3,3,0.0082252, 1,1954| 6672
0,4,4,3,0.00833654, 1,1954| 6672
0,4,5,3,0.0083549, 1,1954| 6672
0,4,6,3,0.00814104, 1,1954| 6672
0,4,7,3,0.00888538, 1,1954| 6672
0,4,8,3,0.0103307, 1,1954| 6672
0,4,9,3,0.0112746, 1,1954| 6672
0,5,0,3,0.0110507, 1,2012| 7052
0,5,1,3,0.0102878, 1,2012| 7052
0,5,2,3,0.00909829, 1,2012| 7052
0,5,3,3,0.0104079, 1,2012| 7052
0,5,4,3,0.0093503, 1,2012| 7052
0,5,5,3,0.00946856, 1,2012| 7052
0,5,6,3,0.00928473, 1,2012| 7052
0,5,7,3,0.00834441, 1,2012| 7052
0,5,8,3,0.00933981, 1,2012| 7052
0,5,9,3,0.00907803, 1,2012| 7052
0,6,0,3,0.0102851, 0,1998| 6936
0,6,1,3,0.00989842, 0,1998| 6936
0,6,2,3,0.00939536, 0,1998| 6936
