graph_id,run,k,2core_flag,runtime_ms,cycles,paths
0,0,3,false,0.0268004, 2,6000| 24072
0,1,3,false,0.0235126, 2,6000| 24072
0,2,3,false,0.0229754, 2,6000| 24072
0,3,3,false,0.0230763, 2,6000| 24072
0,4,3,false,0.023114, 2,6000| 24072
0,5,3,false,0.0229595, 2,6000| 24072
0,6,3,false,0.023036, 2,6000| 24072
0,7,3,false,0.0231099, 2,6000| 24072
0,8,3,false,0.0230525, 2,6000| 24072
0,9,3,false,0.0228815, 2,6000| 24072
1,0,3,false,0.0242119, 5,6000| 24034
1,1,3,false,0.0232337, 5,6000| 24034
1,2,3,false,0.0230532, 5,6000| 24034
1,3,3,false,0.0229807, 5,6000| 24034
1,4,3,false,0.0229642, 5,6000| 24034
1,5,3,false,0.0230603, 5,6000| 24034
1,6,3,false,0.0230646, 5,6000| 24034
1,7,3,false,0.0230441, 5,6000| 24034
1,8,3,false,0.0231738, 5,6000| 24034
1,9,3,false,0.0230539, 5,6000| 24034
2,0,3,false,0.0240998, 5,6000| 24168
2,1,3,false,0.0232408, 5,6000| 24168
2,2,3,false,0.0230496, 5,6000| 24168
2,3,3,false,0.0232949, 5,6000| 24168
2,4,3,false,0.023073, 5,6000| 24168
2,5,3,false,0.0231743, 5,6000| 24168
2,6,3,false,0.0232785, 5,6000| 24168
2,7,3,false,0.0231969, 5,6000| 24168
2,8,3,false,0.023047, 5,6000| 24168
2,9,3,false,0.0230882, 5,6000| 24168
3,0,3,false,0.0241721, 7,6000| 24170
3,1,3,false,0.0233259, 7,6000| 24170
3,2,3,false,0.0230522, 7,6000| 24170
3,3,3,false,0.0230992, 7,6000| 24170
3,4,3,false,0.023093, 7,6000| 24170
3,5,3,false,0.0233233, 7,6000| 24170
3,6,3,false,0.0230091, 7,6000| 24170
3,7,3,false,0.023093, 7,6000| 24170
3,8,3,false,0.023159, 7,6000| 24170
3,9,3,false,0.0230474, 7,6000| 24170
4,0,3,false,0.0241625, 4,6000| 24020
4,1,3,false,0.0233252, 4,6000| 24020
4,2,3,false,0.0229304, 4,6000| 24020
4,3,3,false,0.022795, 4,6000| 24020
4,4,3,false,0.0227282, 4,6000| 24020
4,5,3,false,0.0227082, 4,6000| 24020
4,6,3,false,0.0227697, 4,6000| 24020
4,7,3,false,0.0226808, 4,6000| 24020
4,8,3,false,0.022898, 4,6000| 24020
4,9,3,false,0.0229383, 4,6000| 24020
5,0,3,false,0.0241082, 7,6000| 23870
5,1,3,false,0.0229912, 7,6000| 23870
5,2,3,false,0.0227635, 7,6000| 23870
5,3,3,false,0.0235066, 7,6000| 23870
5,4,3,false,0.023412, 7,6000| 23870
5,5,3,false,0.0228176, 7,6000| 23870
5,6,3,false,0.0227644, 7,6000| 23870
5,7,3,false,0.0225368, 7,6000| 23870
5,8,3,false,0.0227592, 7,6000| 23870
5,9,3,false,0.0226765, 7,6000| 23870
6,0,3,false,0.0238965, 5,6000| 23934
6,1,3,false,0.0229726, 5,6000| 23934
6,2,3,false,0.0226943, 5,6000| 23934
6,3,3,false,0.0226667, 5,6000| 23934
6,4,3,false,0.0229912, 5,6000| 23934
6,5,3,false,0.0229971, 5,6000| 23934
6,6,3,false,0.0229571, 5,6000| 23934
6,7,3,false,0.0229313, 5,6000| 23934
6,8,3,false,0.023037, 5,6000| 23934
6,9,3,false,0.0233278, 5,6000| 23934
7,0,3,false,0.0245438, 6,6000| 23818
7,1,3,false,0.023427, 6,6000| 23818
7,2,3,false,0.0229475, 6,6000| 23818
7,3,3,false,0.0229673, 6,6000| 23818
7,4,3,false,0.0230131, 6,6000| 23818
7,5,3,false,0.0230954, 6,6000| 23818
7,6,3,false,0.0229528, 6,6000| 23818
7,7,3,false,0.0230603, 6,6000| 23818
7,8,3,false,0.0234087, 6,6000| 23818
7,9,3,false,0.0229561, 6,6000| 23818
8,0,3,false,0.024363, 6,6000| 24128
8,1,3,false,0.0232241, 6,6000| 24128
8,2,3,false,0.0230114, 6,6000| 24128
8,3,3,false,0.0230081, 6,6000| 24128
8,4,3,false,0.0229566, 6,6000| 24128
8,5,3,false,0.0230088, 6,6000| 24128
8,6,3,false,0.0229793, 6,6000| 24128
8,7,3,false,0.0229814, 6,6000| 24128
8,8,3,false,0.0230045, 6,6000| 24128
8,9,3,false,0.0229914, 6,6000| 24128
9,0,3,false,0.0241079, 5,6000| 23992
9,1,3,false,0.0230618, 5,6000| 23992
9,2,3,false,0.0229428, 5,6000| 23992
9,3,3,false,0.0228438, 5,6000| 23992
9,4,3,false,0.0229461, 5,6000| 23992
9,5,3,false,0.0229888, 5,6000| 23992
9,6,3,false,0.0229743, 5,6000| 23992
9,7,3,false,0.0231385, 5,6000| 23992
9,8,3,false,0.0229435, 5,6000| 23992
9,9,3,false,0.0230544, 5,6000| 23992
10,0,3,false,0.0101383, 32,2834| 8500
10,1,3,false,0.00932217, 32,2834| 8500
10,2,3,false,0.00908995, 32,2834| 8500
10,3,3,false,0.00919771, 32,2834| 8500
10,4,3,false,0.00909328, 32,2834| 8500
10,5,3,false,0.00919342, 32,2834| 8500
10,6,3,false,0.00916767, 32,2834| 8500
10,7,3,false,0.00906587, 32,2834| 8500
10,8,3,false,0.00911713, 32,2834| 8500
